ion_mass;ion_formula;formula;mass_monoiso;name_iupac;pubchem_cid;CAS_number
67,0542265;[C5H6+H]+;C5H6;66,04695019;cyclopenta-1,3-diene;7612;542-92-7
67,0542265;[C5H6+H]+;C5H6;66,04695019;2-methylbut-1-en-3-yne;62323;78-80-8
67,0542265;[C5H6+H]+;C5H6;66,04695019;pent-3-en-1-yne;137090;NA
67,0542265;[C5H6+H]+;C5H6;66,04695019;(E)-pent-3-en-1-yne;638083;2004-69-5
67,0542265;[C5H6+H]+;C5H6;66,04695;2-penten-4-yne;NA;2206-23-7
67,0542265;[C5H6+H]+;C5H6;66,04695;3-penten-1-yne, (Z)-;NA;1574-40-9
68,0494755;[C4H5N+H]+;C4H5N;67,04219916;2-methylprop-2-enenitrile;31368;126-98-7
68,0494755;[C4H5N+H]+;C4H5N;67,04219916;(E)-but-2-enenitrile;637921;4786-20-3
68,0494755;[C4H5N+H]+;C4H5N;67,04219916;pyrrole;8027;109-97-7
68,0494755;[C4H5N+H]+;C4H5N;67,042199;pyrrole / 1H-pyrrole;NA;109-97-7 /
69,0334905;[C4H4O+H]+;C4H4O;68,02621475;furan;8029;110-00-9
69,0698765;[C5H8+H]+;C5H8;68,06260026;NA;11714;598-25-4
69,0698765;[C5H8+H]+;C5H8;68,06260026;isoprene;6557;78-79-5
69,0698765;[C5H8+H]+;C5H8;68,06260026;NA;11588;591-95-7
69,0698765;[C5H8+H]+;C5H8;68,06260026;(3E)-penta-1,3-diene;62204;2004-70-8
69,0698765;[C5H8+H]+;C5H8;68,06260026;(3Z)-penta-1,3-diene;643785;1574-41-0
69,0698765;[C5H8+H]+;C5H8;68,06260026;penta-1,4-diene;11587;591-93-5
69,0698765;[C5H8+H]+;C5H8;68,06260026;pent-2-yne;12310;627-21-4
69,0698765;[C5H8+H]+;C5H8;68,0626;ethylidenecyclopropane;NA;18631-83-9
69,0698765;[C5H8+H]+;C5H8;68,0626;1,3-pentadiene;NA;504-60-9
70,0287395;[C3H3NO+H]+;C3H3NO;69,02146372;oxazole;9255;288-42-6
70,0651255;[C4H7N+H]+;C4H7N;69,05784923;2-methylpropanenitrile;6559;78-82-0
70,0651255;[C4H7N+H]+;C4H7N;69,05784923;butanenitrile;8008;109-74-0
70,0651255;[C4H7N+H]+;C4H7N;69,057849;1-pyrroline;NA;5724-81-2
71,0491405;[C4H6O+H]+;C4H6O;70,04186481;(E)-but-2-enal;447466;123-73-9
71,0491405;[C4H6O+H]+;C4H6O;70,04186481;but-3-en-2-one;6570;78-94-4
71,0491405;[C4H6O+H]+;C4H6O;70,04186481;2,3-dihydrofuran;70934;1191-99-7
71,0491405;[C4H6O+H]+;C4H6O;70,04186481;2-methylprop-2-enal;6562;78-85-3
71,0491405;[C4H6O+H]+;C4H6O;70,04186481;2,5-dihydrofuran;15570;1708-29-8
71,0603745;[C3H6N2+H]+;C3H6N2;70,0530982;dimethylcyanamide;15112;1467-79-4
71,0855265;[C5H10+H]+;C5H10;70,07825032;cyclopentane;9253;287-92-3
71,0855265;[C5H10+H]+;C5H10;70,07825032;2-methylbut-2-ene;10553;513-35-9
71,0855265;[C5H10+H]+;C5H10;70,07825032;3-methylbut-1-ene;11239;563-45-1
71,0855265;[C5H10+H]+;C5H10;70,07825032;2-methylbut-1-ene;11240;563-46-2
71,0855265;[C5H10+H]+;C5H10;70,07825032;(E)-pent-2-ene;5326161;646-04-8
71,0855265;[C5H10+H]+;C5H10;70,07825032;(Z)-pent-2-ene;5326160;627-20-3
71,0855265;[C5H10+H]+;C5H10;70,07825;1-pentene;NA;109-67-1
71,0855265;[C5H10+H]+;C5H10;70,07825;2-pentene;NA;109-68-2
72,0443895;[C3H5NO+H]+;C3H5NO;71,03711378;prop-2-enamide;6579;79-06-1
72,0807755;[C4H9N+H]+;C4H9N;71,07349929;cyclobutanamine;75645;2516-34-9
72,0807755;[C4H9N+H]+;C4H9N;71,07349929;pyrrolidine;31268;123-75-1
73,0284045;[C3H4O2+H]+;C3H4O2;72,02112937;propanedial;10964;542-78-9
73,0284045;[C3H4O2+H]+;C3H4O2;72,02112937;2-oxopropanal;880;78-98-8
73,0647905;[C4H8O+H]+;C4H8O;72,05751487;butanal;261;123-72-8
73,0647905;[C4H8O+H]+;C4H8O;72,05751487;butan-2-one;6569;78-93-3
73,0647905;[C4H8O+H]+;C4H8O;72,05751487;2-methylpropanal;6561;78-84-2
73,0647905;[C4H8O+H]+;C4H8O;72,05751487;vinyloxyethane;8023;109-92-2
73,0647905;[C4H8O+H]+;C4H8O;72,057515;cyclobutanol;NA;2919-23-5
73,0647905;[C4H8O+H]+;C4H8O;72,057515;ethyleneglycol mono vinyl ester / Vinyloxyethanol;NA;764-48-7
73,0647905;[C4H8O+H]+;C4H8O;72,057515;tetrahydrofuran;NA;109-99-9
73,1011765;[C5H12+H]+;C5H12;72,09390038;2-methylbutane;6556;78-78-4
73,1011765;[C5H12+H]+;C5H12;72,09390038;pentane;8003;109-66-0
73,1011765;[C5H12+H]+;C5H12;72,0939;2,2-dimethylpropane / neopentane;NA;463-82-1
