"element" "isotope" "mass" "abundance" "ratioC"
"275" "Pt" "198Pt" 197.967893 0.07163 0
"276" "Au" "197Au" 196.9665687 1 0
"277" "Hg" "196Hg" 195.965833 0.0015 0
"278" "Hg" "198Hg" 197.966769 0.0997 0
"279" "Hg" "199Hg" 198.9682799 0.1687 0
"280" "Hg" "200Hg" 199.968326 0.231 0
"281" "Hg" "201Hg" 200.9703023 0.1318 0
"282" "Hg" "202Hg" 201.970643 0.2986 0
"283" "Hg" "204Hg" 203.9734939 0.0687 0
"284" "Tl" "203Tl" 202.9723442 0.2952 0
"285" "Tl" "205Tl" 204.9744275 0.7048 0
"286" "Pb" "204Pb" 203.9730436 0.014 0
"287" "Pb" "206Pb" 205.9744653 0.241 0
"288" "Pb" "207Pb" 206.9758969 0.221 0
"289" "Pb" "208Pb" 207.9766521 0.524 0
"290" "Bi" "209Bi" 208.9803987 1 0
"291" "Th" "232Th" 232.0380553 1 0
"292" "Pa" "231Pa" 231.035884 1 0
"293" "U" "234U" 234.0409521 5.4e-05 0
"294" "U" "235U" 235.0439299 0.007204 0
"295" "U" "238U" 238.0507882 0.992742 0
"296" "[15]N" "15N" 15.000109 1 4
"297" "[13]C" "13C" 13.003355 1 0
"298" "D" "2H" 2.01410178 1 6
"299" "[37]Cl" "37Cl" 36.9659026 1 2
"300" "[18]O" "18O" 17.9991604 1 3
"301" "[16]O" "16O" 15.99491462 1 3
"302" "[12]C" "12C" 12 1 0
"303" "[2]H" "2H" 2.014101778 1 6
"304" "[33]S" "33S" 32.97145854 0.0075 3
"305" "[34]S" "34S" 33.96786687 0.0425 3
"306" "[35]S" "35S" 35 0 3
"307" "[36]S" "36S" 35.96708088 1e-04 3
"308" "[35]Cl" "35Cl" 34.96885271 0.7576 2
