formula;mass;pubChemId
C6H12N4;140.19;")<br>1,3,5,7-Tetraazatricyclo(3.3.1.13,7)decane<br>NSC26346<br>1,3,5,7-Tetraazatricyclo[3.3.1.13,7 ]decane<br>1,3,5,7-Tetraazatricyclo(3.3.1.1(sup 3,7))decane<br>NCGC00094719-04<br>E239<br>DSSTox_CID_692<br>Hexamethylenetetramine-palladium chloride adduct<br>DSSTox_RID_75739<br>1,3,5,7-tetraazatricyclo[3.3.1.1?,?]decane<br>DSSTox_GSID_20692<br>Hexamethylenetetramine [UN1328] [Flammable solid]<br>1,3,5,7-Tetraazatricyclo[3.3.1.1(3,7)]decane<br>1,3,5,7-tetraazatricyclo[3.3.1.1^{3,7}]decane<br>Sanceler HT<br>Heksa K<br>Hexamine Superfine<br>Nocceler H-PO<br>Sanceler HT-PO<br>Hexa B<br>1,3,5,7-Tetraazatricyclo(3.3.1.13,7)decane hydroiodide<br>CAS-100-97-0<br>SMR000857139<br>Cohedur H 30<br>hexamethylene-tetramine<br>NSC403347<br>Rhenogran HEXA 80<br>Thixon 715B<br>1,3,5,7-Tetraazotricyclo[3.3.1.13,7]decane<br>SR-05000002024<br>Methenamine [USP:INN]<br>1,3,5,7-tetraazatricyclo[3.3.1.1<3,7>]decane<br>1,3,5,7-Tetraazatricyclo[3.3.1.1(sup 3,7)]decane<br>Hexamethylamine<br>Naphthamine<br>Vesalvine<br>Urisol<br>Carin<br>EL 10 (corrosion inhibitor)<br>EL 10<br>Prestwick_79<br>Vulkacit H30<br>Grasselerator 102<br>Cystex (SaltMix)<br>67931-01-5<br>hexam-ethylenetetraamine<br>hexamethylene tetraamine<br>PubChem20918<br>Spectrum_000991<br>ACMC-20ahs9<br>AC1L1HEY<br>AC1Q1ICZ<br>Spectrum2_000827<br>Spectrum3_001730<br>Spectrum4_000872<br>Spectrum5_001603<br>Methenamine (Mandelamine)<br>Formaldehyde-ammonia 6:4<br>[16]-Adamazane, INN<br>component of Uro-Phosphate<br>Uro-phosphate (SaltMix)<br>1,5,7-Tetraazaadamantane<br>D02LJR<br>EC 202-905-8<br>Hexamethylentetramin(german)<br>Hexamethylenetetramine, 8CI<br>1,3,5,7-Tetraaza-tricyclo3.3.1.13,7decane<br>SCHEMBL33785<br>BSPBio_003380<br>Hexamethylenetetramine, tech.<br>KBioGR_001563<br>KBioSS_001471<br>KSC925A7R<br>MLS001332361<br>MLS001332362<br>MLS002207085<br>DivK1c_000322<br>SPECTRUM1500394<br>SPBio_000753<br>Hexamethylenetetramine, BioXtra<br>CHEMBL1201270<br>DTXSID6020692<br>CTK8C5078<br>HMS501A04<br>KBio1_000322<br>KBio2_001471<br>KBio2_004039<br>KBio2_006607<br>KBio3_002600<br>KS-00000URE<br>MolPort-001-759-937<br>NINDS_000322<br>HMS1920L13<br>HMS2091D08<br>HMS2233B09<br>HMS3371O15<br>HMS3652A05<br>HMS3715D17<br>Pharmakon1600-01500394<br>HY-B0514<br>STR00289<br>Tox21_113455<br>Tox21_201606<br>Tox21_300502<br>ANW-73975<br>CCG-40289<br>Hexamethylenetetramine, 99% 250g<br>Hexamethylenetetramine, LR, >=99%<br>LS-313<br>NSC-26346<br>NSC757101<br>s3139<br>SBB008794<br>STL197471<br>ZINC86040406<br>AKOS000120003<br>Tox21_113455_1<br>CS-2724<br>DB06799<br>MCULE-8414341610<br>NE10461<br>NSC-757101<br>RP20622<br>IDI1_000322<br>NCGC00094719-01<br>NCGC00094719-02<br>NCGC00094719-03<br>NCGC00094719-05<br>NCGC00094719-06<br>NCGC00094719-08<br>NCGC00254463-01<br>NCGC00259155-01<br>AJ-72646<br>BC222881<br>H722<br>SC-19168<br>SBI-0051439.P003<br>AB1002098<br>TC-162720<br>Hexamethylenetetramine, ReagentPlus(R), 99%<br>ST50823696<br>1,5,7-Tetraazatricyclo[3.3.1.13,7]decane<br>3070-EP2269990A1<br>3070-EP2295550A2<br>3070-EP2298734A2<br>3070-EP2371811A2<br>3070-EP2377849A2<br>D00393<br>Hexamethylenetetramine, ACS reagent, >=99.0%<br>1,3,5,7-tetraazaadamantane, Formin, Aminoform<br>22128-EP2272817A1<br>22128-EP2275404A1<br>22128-EP2280000A1<br>22128-EP2305652A2<br>22128-EP2308848A1<br>22128-EP2314593A1<br>34431-EP2301536A1<br>34431-EP2301538A1<br>34431-EP2311455A1<br>34543-EP2301536A1<br>34543-EP2301538A1<br>34543-EP2311455A1<br>AB00052038_08<br>AB00052038_09<br>1,3,5,7-tetraaza-tricyclo[3.3.1.13,7]decane<br>1,3,5,7-tetraazatricyclo-[3.3.1.13,7]decane<br>1,3,5,7-tetraazatricyclo[3,3,1,13,7]decane<br>1,3,5,7-tetraazatricyclo[3.3.1.1(3),]decane<br>1,5:3,7-Dimethano-1,3,5,7-tetraazacyclooctane<br>AE-64100560026<br>WLN: T66 B6 A B-C 1B I BN DN FN HNTJ<br>1,3,5,7-Tetraazatricyclo[3.3.1~13,7~]decane<br>Hexamethylenetetramine [UN1328] [Flammable solid]<br>Hexamethylenetetramine, analytical reference material<br>Hexamethylenetetramine, p.a., ACS reagent, 99.0%<br>Hexamethylenetetramine, SAJ first grade, >=98.5%<br>I14-7469<br>J-000293<br>J-521456<br>SR-05000002024-1<br>SR-05000002024-3<br>1,3,5,7-tetraaza-tricyclo[3.3.1.1*3,7*]decane<br>1,3,5,7-Tetraazatricyclo-[3.3.1.1(3,7)]decane<br>1,3,5,7-tetraazatricyclo[3.3.1.1<br>{3,7}]decane<br>BRD-K30114692-001-10-0<br>Hexamethylenetetramine, JIS special grade, >=99.0%<br>F2173-0429<br>Z362014242<br>Methenamine, European Pharmacopoeia (EP) Reference Standard<br>Methenamine, United States Pharmacopeia (USP) Reference Standard<br>InChI=1C6H12N4c1-7-2-9-4-8(1)5-10(3-7)6-9h1-6H<br>1,3,5,7-Tetraazatricyclo[3.3.1.13,7]decane<br> Hexamine<br> Methenamine<br> Urotropine<br>Hexamethylenetetramine, anhydrous, free-flowing, Redi-Dri(TM), ACS reagent, >=99.0%<br>11103-67-6<br>1556839-80-5<br>15978-33-3<br>56549-34-9<br>74734-16-0<br>91773-48-7<br>Hexamethylenetetramine, meets analytical specification of Ph.??Eur., BP, 99-100.5% (calc. to the dried substance)<br>Hexamethylenetetramine, puriss. p.a., Reag. Ph. Eur., >=99.5% (calc. to the dried substance)<br><td>
<tr>
<tr>
<td>PubChem CID<td>
<td><a href=https:pubchem.ncbi.nlm.nih.govcompound4101"
C2H7NO;61.084;14232
C7H16O3;148.202;25484
C5H10O;86.134;11552
C5H12;72.151;6556
C5H6N2;94.117;78748
CH2Cl2;84.927;6344
C3H5N;55.08;37987
C3H9N;59.112;12219
C8H14O;126.199;9862
