formula;mass;pubChemId;nHBDB
C9H18O;142.242;31289;7
C9H18O;142.242;13187;783
C10H22;142.286;15600;199
C10H22;142.286;139988;466
C10H22;142.286;16319;467
C10H22;142.286;14070;468
C10H22;142.286;139989;469
C10H22;142.286;85927;470
C10H22;142.286;79985;533
C10H22;142.286;139803;650
C10H22;142.286;13379;702
C10H22;142.286;22202;703
C10H22;142.286;28455;704
C10H22;142.286;27518;705
C10H22;142.286;137658;889
C10H22;142.286;93280;890
C7H13NO2;143.18;574439;1019
C9H21N;143.27;29996;957
C6H8O4;144.126;7272;225
C8H16O2;144.21;8697;1038
C8H16O2;144.214;379;256
C9H20O;144.25;8914;1012
C7H14O3;146.18;84777;929
C7H14O3;146.186;12989;252
C10H10O;146.189;33109;216
C6H14N2O2;146.19;866;37
C6H14N2O2;146.19;866;38
C9H10N2;146.19;576372;1005
C6H4Cl2;146.998;7239;201
C6H4Cl2;146.998;10943;394
C6H4Cl2;146.998;4685;395
C7H16O3;148.202;25484;296
C7H16O3;148.202;25982;605
C10H12O;148.205;8815;128
C10H12O;148.205;637563;369
C10H12O;148.205;69144;742
C8H17Cl;148.674;12347;304
C10H15N;149.237;572331;283
C9H10O2;150.17;7165;945
C6H14O4;150.174;71363248;115
C10H14O;150.221;7439;165
C10H14O;150.221;7702;606
C10H14O;150.221;329983;856
C8H9NO2;151.16;9602988;924
C8H9NO2;151.165;8635;206
C8H8O3;152.15;4133;950
C10H16O;152.23;586164;1025
C10H16O;152.237;98497;10
C10H16O;152.237;64152;368
C10H16O;152.237;77408;571
C10H16O;152.237;6987;700
C10H16O;152.237;107372;701
C10H16O;152.237;2537;872
CCl4;153.811;5943;162
C12H10;154.212;7095;141
C12H10;154.212;13230;504
C10H18O;154.25;11230;948
C10H18O;154.253;2758;175
C10H18O;154.253;6986;589
C10H18O;154.253;70962;699
C10H18O;154.253;17100;855
C10H18O;154.253;5363526;857
C11H22;154.29;544716;1033
C11H22;154.297;20284;191
C11H22;154.297;518718;640
C11H22;154.297;518719;641
C11H22;154.297;520049;642
C11H22;154.297;5365838;643
C11H22;154.297;13190;912
C11H22;154.297;5358315;913
C11H22;154.297;5364447;914
C11H22;154.297;5364488;915
C9H16O2;156.225;5283344;16
C10H20O;156.26;1254;947
C10H20O;156.26;557859;983
C10H20O;156.269;8175;198
C10H20O;156.269;16666;585
C10H20O;156.269;89437;698
C11H24;156.31;537332;1043
C11H24;156.313;28456;231
C11H24;156.313;28457;462
C11H24;156.313;537768;529
C11H24;156.313;92239;532
C11H24;156.313;23415;637
C11H24;156.313;17835;638
C11H24;156.313;93071;639
C11H24;156.313;545571;897
C11H24;156.313;522006;898
C11H24;156.313;112465;899
C11H24;156.313;545612;900
C11H24;156.313;14257;911
C9H19NO;157.257;12975;5
C9H18O2;158.241;7795;149
C9H18O2;158.241;97883;745
C9H18O2;158.241;8158;782
CH4;16.043;297;291
C6H12N2O3;160.17;160669;1037
C8H16O3;160.213;57349892;113
C8H16O3;160.213;8160;365
C10H10O2;162.18;23229;968
C8H18O3;162.229;41088;156
C12H18;162.27;7602;963
C11H17N;163.26;20006;1027
C10H12O2;164.2;81984;954
C11H16O;164.24;6643;1046
C2Cl4;165.822;31373;342
C9H10O3;166.17;1303;953
C10H14O2;166.22;557545;1013
C11H18O;166.26;5367531;1016
C7H5NO4;167.12;1066;43
C9H13NO2;167.208;266585;337
C5H4N4O3;168.112;1175;49
C11H20O;168.28;5283356;357
C12H24;168.32;9268;971
C12H24;168.324;521583;223
C12H24;168.324;522542;433
C12H24;168.324;5366033;434
C12H24;168.324;8183;494
C12H24;168.324;522440;495
C12H24;168.324;5362826;496
C12H24;168.324;5364450;497
C12H24;168.324;519765;498
C12H24;168.324;5364444;499
C12H24;168.324;138957;500
C12H24;168.324;5364640;501
C12H24;168.324;522551;767
C12H24;168.324;522554;768
C12H24;168.324;522552;769
C12H24;168.324;5366153;770
C12H24;168.324;5364657;771
C12H24;168.324;5364659;772
C12H24;168.324;5366151;773
C12H24;168.324;5365958;774
C12H24;168.324;5364655;775
C12H24;168.324;5363253;776
H3N;17.031;222;29
C10H18O2;170.25;5367937;1045
C11H22O;170.296;8186;356
C12H26;170.34;86544;222
C12H26;170.34;520357;426
C12H26;170.34;139395;427
C12H26;170.34;545624;428
C12H26;170.34;519395;429
C12H26;170.34;28468;430
C12H26;170.34;519396;431
C12H26;170.34;519255;432
C12H26;170.34;8182;493
C12H26;170.34;519256;512
C12H26;170.34;537329;516
C12H26;170.34;23459;763
C12H26;170.34;13845;764
C12H26;170.34;520454;765
C12H26;170.34;94213;766
C12H26;170.34;182333;862
C12H26;170.34;537765;863
C10H20O2;172.268;8164;112
C9H20N2O;172.272;14465;343
C7H5ClO3;172.564;70297;164
C12H14O;174.243;78605;280
C7H21NSi2;175.422;70199;309
C13H20;176.303;14115;328
