label	mass	lower integration limit	upper integration limit
(C6H14O)H+	103.1117401	103.0742569	103.1492233
(C5H14N2)H+	103.1229782	103.0854874	103.1604614
(C4H8O3)+	104.0467911	104.0090408	104.0845413
(C7H5N)H+	104.049469	104.0117188	104.0872192
(C8H8)+	104.0620499	104.0242996	104.0998001
(C4H8OS)H+	105.0368729	104.9988403	105.074913
(C7H7N)+	105.0572968	105.0192566	105.0953369
(C8H8)H+	105.06987	105.0318298	105.1079102
(C8H10)+	106.077713	106.0393829	106.1160431
(C7H6O)H+	107.0491333	107.0105209	107.087738
(C8H10)H+	107.0855331	107.0469131	107.1241531
(C7H7O)H+	108.0569687	108.0180664	108.095871
(C7H9N)H+	108.0807571	108.0418472	108.1196594
(C8H12)+	108.0933533	108.0544434	108.1322632
(C7H8O)H+	109.0647888	109.0255966	109.103981
(C6H8N2)H+	109.0760269	109.0368271	109.1152191
(C7H11N)+	109.0886002	109.0494003	109.1277924
(C8H12)H+	109.1011734	109.0619736	109.1403732
(C6H7NO)H+	110.0600433	110.0205688	110.0995178
(C7H10O)+	110.0726166	110.0331268	110.1120987
(C6H10N2)+	110.083847	110.0443573	110.1233292
(C8H14)+	110.1090012	110.0695114	110.1484909
(C7H10O)H+	111.0804367	111.040657	111.1202087
(C6H10N2)H+	111.0916672	111.0519028	111.1314392
(C7H13N)+	111.104248	111.0644684	111.1440277
(C8H14)H+	111.1168137	111.0770264	111.1565933
(C6H5Cl)+	112.0074234	111.9673767	112.0474625
(C6H8O2)+	112.0518799	112.0118332	112.0919266
(C7H12O)+	112.0882568	112.0481873	112.1283188
(C7H13N)H+	112.1120682	112.0719986	112.1521378
(C6H5Cl)H+	113.0152664	112.9749374	113.055603
(C6H8O2)H+	113.0596771	113.0193329	113.1000214
(C7H12O)H+	113.096077	113.0557175	113.1364365
(C6H12N2)H+	113.1073303	113.0669708	113.1476898
(C6H11NO)H+	114.0913467	114.0506973	114.1319885
(C7H15N)H+	114.1277313	114.0870667	114.1683884
(C6H10O2)H+	115.0753632	115.0344315	115.1162872
(C7H14O)H+	115.1117401	115.0708008	115.1526794
(C6H14N2)H+	115.1229782	115.0820313	115.1639328
(C7H17N)H+	116.1433792	116.1021271	116.1846237
(C9H8)H+	117.06987	117.0283585	117.1113815
(C5H11NO2)+	117.0784302	117.036911	117.1199493
(C6H12O2)H+	117.091011	117.0494919	117.1325302
(C5H12N2O)H+	117.1022415	117.0607224	117.1437683
(C7H16O)H+	117.127388	117.0858612	117.1689072
(C8H7N)H+	118.0651169	118.0233231	118.1069183
(C9H10)+	118.077713	118.0358963	118.1195221
(C6H14S)+	118.0810699	118.0392609	118.122879
(C5H11NO2)H+	118.0862579	118.0444489	118.128067
(C7H6N2)H+	119.0603867	119.0182877	119.1024933
(C9H10)H+	119.0855331	119.0434265	119.1276398
(C8H9N)H+	120.0807571	120.0383606	120.1231537
(C7H7NO)+	121.0522232	121.0095367	121.094902
(C8H8O)H+	121.0647888	121.0221024	121.1074829
(C8H11N)+	121.0886002	121.0459137	121.1312866
(C9H12)H+	121.1011734	121.0584793	121.1438675
(C7H7NO)H+	122.0600433	122.017067	122.1030197
(C7H10N2)+	122.083847	122.040863	122.1268311
(C8H11N)H+	122.0964127	122.053421	122.1393967
(C7H10N2)H+	123.0916672	123.0483932	123.1349487
(C6H5NO2)H+	124.0393066	123.9957428	124.0828705
(C4H7F2NO)H+	124.0568466	124.0132828	124.1004181
(C7H8S)H+	125.0419464	124.9980927	125.0858078
(C7H8O2)H+	125.0596771	125.0158081	125.1035385
(C6H8N2O)H+	125.0709534	125.0270767	125.1148224
(C7H11NO)+	125.0835114	125.0396423	125.1273804
(C8H12O)H+	125.096077	125.0522003	125.1399536
(C7H12N2)H+	125.1073303	125.0634537	125.151207
(C8H15N)+	125.1199036	125.0760193	125.1637878
(C8H14O)H+	127.1117401	127.0672684	127.1562119
(C8H17N)+	127.1355515	127.0910721	127.1800308
(Xe)+	127.902977	127.8582687	127.9476929
(C8H16O)+	128.1195679	128.0747986	128.1643372
(C8H17N)H+	128.1433716	128.098587	128.1881561
(Xe)H+	128.9108124	128.865799	128.9558258
(C8H4N2)H+	129.0447235	128.9996796	129.0897675
(C10H8)H+	129.06987	129.0248108	129.1149292
(C7H12O2)H+	129.0910034	129.0459442	129.1360626
(C8H16O)H+	129.1273956	129.0823212	129.1724701
(C7H16N2)H+	129.1386261	129.0935516	129.1837006
(C8H19N)+	129.1511993	129.1061249	129.1962738
(C8H6N2)H+	131.060379	131.0147247	131.1060333
propylbutanoateH+	131.1066437	131.0609741	131.1523132
(C8H18O)H+	131.1430359	131.0973663	131.1887054
(C7H18N2)H+	131.1542664	131.1085815	131.1999512
