CAS,ChEBI
"626-91-5","No result"
"20324-32-7","No result"
"34590-94-8","No result"
"4225-42-7","No result"
"31053-55-1","No result"
"24985-48-6","No result"
"90-05-1","CHEBI:28591"
"150-76-5","CHEBI:69441"
"2475-92-5","No result"
"13429-07-7","No result"
"104-45-0","No result"
"16839-97-7","No result"
"79-16-3","No result"
"100-61-8","CHEBI:67144
CHEBI:15733
CHEBI:59018"
"95-53-4","CHEBI:66892"
"85-91-6","No result"
"104-87-0","CHEBI:28617"
"4265-25-2","No result"
"28652-72-4","No result"
"26140-47-6","CHEBI:16182"
"590-86-3","CHEBI:16638"
"96-17-3","CHEBI:16182"
"78-78-4","No result"
"625-28-5","No result"
"23747-45-7","No result"
"116-53-0","CHEBI:37070
CHEBI:38655"
"35915-22-1","CHEBI:28484"
"7452-79-1",""
"868-57-5","No result"
"37064-20-3","No result"
"503-74-2","CHEBI:28484
CHEBI:48942"
"109-19-3","No result"
"108-64-5","CHEBI:31571"
"123-51-3","CHEBI:15837"
"137-32-6","CHEBI:48945
CHEBI:50624"
"598-75-4","CHEBI:77517"
"563-80-4","No result"
"107-86-8","CHEBI:15825"
"497-03-0","No result"
"513-35-9","CHEBI:77916"
"563-45-1","CHEBI:77914"
"563-46-2","CHEBI:77915"
"16529-56-9","No result"
"13201-46-2","CHEBI:36432
CHEBI:9592"
"556-82-1","CHEBI:16019"
"763-32-6","CHEBI:62898"
"814-78-8","No result"
"78-80-8","No result"
"4489-84-3","No result"
"37689-15-9","No result"
"598-23-2",""
"101-39-3","No result"
"82000-09-7","No result"
"4126-78-7","No result"
"4313-57-9","No result"
"108-87-2","No result"
"591-47-9","No result"
"591-24-2","No result"
"591-49-1","No result"
"1193-18-6","No result"
"96-38-8","No result"
"96-39-9","No result"
"96-37-7","CHEBI:78021"
"1462-03-9",""
"24070-77-7","No result"
"18729-48-1","No result"
"1120-72-5","No result"
"1757-42-2","No result"
"693-89-0","No result"
"1120-62-3","No result"
"1759-81-5","No result"
"1120-73-6","No result"
"2758-18-1",""
"1767-84-6","No result"
"6975-98-0","No result"
"2847-72-5","No result"
"13151-35-4","No result"
"24323-23-7","No result"
"ui","No result"
"13151-27-4","No result"
"13151-29-6","No result"
"23381-92-2","No result"
"74630-30-1","No result"
"5053-43-0","No result"
"37174-63-3",""
"39647-11-5","No result"
"24851-98-7","No result"
"108944-11-2","No result"
"223611-75-4","No result"
"5129-65-7","No result"
"96533-16-3","No result"
"55103-82-7","No result"
"4396-19-4","No result"
"75-09-2","CHEBI:15767"
"1192-37-6",""
"1888-90-0","No result"
"1528-30-9","No result"
"14548-32-4","No result"
"930-26-7","No result"
"142423-24-3","No result"
"74685-56-6","No result"
"38239-27-9","No result"
"1632-16-2","No result"
"3387-41-5","No result"
"624-78-2","No result"
"1129-29-9","No result"
"2388-14-9","No result"
"122-03-2","CHEBI:28671"
"21391-98-0","No result"
"14676-29-0","No result"
"5749-72-4","No result"
"609-26-7","No result"
"13925-03-6","No result"
"123-39-7","CHEBI:7438"
"26895-04-5","No result"
"27137-41-3","No result"
"534-22-5","No result"
"930-27-8","No result"
"620-02-0",""
"591-11-7","CHEBI:36436"
"22122-36-7","No result"
"1334-76-5","No result"
"158274-95-4","No result"
"71987-29-6","No result"
"5129-61-3",""
"13643-06-6","No result"
"13857-55-1","No result"
"7270-50-0","No result"
"1604-28-0",""
"592-27-8","No result"
"589-81-1","No result"
"589-53-7","CHEBI:67193"
"3002-23-1","No result"
"1188-02-9","No result"
"29466-99-7","No result"
"18217-12-4","No result"
"2371-19-9","No result"
"928-68-7","No result"
"624-42-0","No result"
"626-33-5","No result"
"15870-10-7","No result"
"07/09/4810",""
"13151-05-8","No result"
"5026-76-6","No result"
"627-97-4","No result"
"3404-75-9","No result"
"3404-56-6","No result"
"66225-17-0","No result"
"73548-72-8","No result"
"22487-87-2","No result"
"7300-03-0","No result"
"4485-16-9","No result"
"110-93-0",""
"628-61-5","No result"
"61228-09-9","No result"
"55019-46-0","No result"
"28801-93-6","No result"
"158274-92-1","No result"
"28823-41-8","No result"
"6108-96-9","No result"
"763-88-2","No result"
"19269-28-4","No result"
"589-34-4","No result"
"591-76-4","No result"
"4536-23-6","No result"
"3780-58-3","No result"
"13231-81-7","No result"
"623-55-2","No result"
"105-42-0","No result"
"110-12-3","No result"
"06/12/7379",""
"17042-16-9","No result"
"2550-21-2","No result"
"623-56-3","No result"
"28467-88-1","No result"
"06/02/6094",""
"3404-61-3","No result"
"3769-23-1","No result"
"3524-73-0","No result"
"2738-19-4","No result"
"17618-77-8","No result"
"3404-55-5","No result"
"3683-19-0","No result"
"3683-22-5","No result"
"15840-60-5","No result"
"692-24-0","No result"
"3899-36-3","No result"
"4914-89-0","No result"
"3404-65-7","No result"
"27960-21-0","No result"
"54068-86-9","No result"
"1595-10-4","No result"
"36566-80-0","No result"
"2203-80-7","No result"
"10413-18-0","No result"
"74367-34-3","No result"
"95-20-5",""
"83-34-1","CHEBI:9171"
"614-96-0","No result"
"933-67-5","No result"
"541-28-6","No result"
"146420-36-2","No result"
"693-97-0","No result"
"109959-42-4","No result"
"28588-74-1","No result"
"41158-41-2","No result"
"56763-62-3","No result"
"1195-32-0","No result"
"535-77-3","No result"
"21129-27-1","No result"
"1196-31-2","CHEBI:36492"
"89-81-6","CHEBI:48933"
"5113-66-6","CHEBI:16822"
"499-75-2","CHEBI:3440"
"44657-76-3",""
"4747-21-1","No result"
"81676-11-1","No result"
"75873-00-6","No result"
"75873-01-7","No result"
"1595-16-0","No result"
"13678-59-6","No result"
"42474-44-2",""
"20651-30-3",""
"625-74-1","No result"
"55090-44-3","No result"
"6418-45-7","No result"
"871-83-0","No result"
"06/04/5911",""
"17301-94-9","No result"
"15869-85-9","No result"
"24323-21-5","No result"
"80113-38-8","No result"
"6561-44-0","No result"
"3221-61-2","No result"
"2216-33-3","No result"
"2216-34-4","No result"
"3004-93-1","No result"
"54947-74-9","No result"
"30801-91-3",""
"903503-35-5","No result"
"903503-34-4","No result"
"865444-39-9","No result"
"2549-60-2",""
"2801-87-8","No result"
"72000-71-6","No result"
"5487-50-3","No result"
"5129-60-2","No result"
"926-54-5","No result"
"2787-43-1","No result"
"2787-45-3","No result"
"1115-08-8","No result"
"926-56-7","No result"
"123-15-9","No result"
"15877-57-3","No result"
"107-83-5","No result"
"96-14-0","No result"
"542-54-1","No result"
"105-43-1","No result"
"646-07-1","CHEBI:74903
CHEBI:74904"
"589-35-5","No result"
"626-89-1","CHEBI:63910"
"108-11-2","No result"
"565-67-3","No result"
"77-74-7","No result"
"63072-44-6","No result"
"108-10-1","CHEBI:82344"
"565-61-7","No result"
"565-69-5","No result"
"918-85-4","No result"
"623-36-9","No result"
"5362-56-1","No result"
"5362-50-5","No result"
"763-29-1","No result"
"760-20-3","No result"
"691-37-2","No result"
"625-27-4","No result"
"922-61-2","No result"
"616-12-6","No result"
"922-62-3","No result"
"4461-48-7","No result"
"674-76-0","No result"
"691-38-3","No result"
"3675-21-6","No result"
"10321-71-8","No result"
"1569-59-1","No result"
"763-89-3","No result"
"141-79-7","No result"
"25044-01-3","No result"
"565-62-8","No result"
"1574-33-0","No result"
"21020-27-9","No result"
"7154-75-8","No result"
"106-44-5","CHEBI:17847"
"5961-33-1","No result"
"577-16-2","No result"
"5445-77-2","No result"
"2040-14-4","No result"
"109-01-3","CHEBI:28568"
"931-20-4","No result"
"78-84-2","CHEBI:48943"
"75-28-5","No result"
"75-66-1","No result"
"79-31-2","CHEBI:16135
CHEBI:48944"
"97-62-1","No result"
"547-63-7","CHEBI:73689"
"2445-69-4","No result"
"644-49-5","No result"
"75-65-0","CHEBI:26878"
"78-83-1","No result"
"78-85-3","No result"
"115-11-7","CHEBI:43907"
"97-88-1","No result"
"80-62-6","CHEBI:34840"
"97-86-9","No result"
"3290-53-7","No result"
"768-49-0","No result"
"89656-98-4","No result"
"1074-17-5","No result"
"4104-56-7","No result"
"2179-60-4","No result"
"109-08-0","No result"
"1453-58-3","No result"
"109-06-8","CHEBI:50415"
"108-99-6","No result"
"695-34-1","No result"
"636-41-9","No result"
"616-43-3","No result"
"96-54-8","No result"
"1192-58-1","No result"
"1319-73-9","No result"
"611-15-4","No result"
"98-83-9","CHEBI:35060"
"227456-33-9","No result"
"307964-23-4","No result"
"1634-04-4","CHEBI:27642"
"514202-56-3","No result"
"213617-69-7","No result"
"ui","No result"
"96-47-9","No result"
"3188-00-9","No result"
"3581-87-1","No result"
"22438-40-0","No result"
"1072-43-1","No result"
"628-29-5","No result"
"59121-24-3","No result"
"556-64-9","CHEBI:61112"
"554-14-3","No result"
"616-44-4","No result"
"7210-64-2","No result"
"3268-49-3","CHEBI:49019
CHEBI:49017"
"3877-15-4","No result"
"22551-26-4","No result"
"505-10-2","CHEBI:49019"
"42848-06-6","No result"
"52195-40-1","No result"
"598-52-7","No result"
"71987-34-3","No result"
"99640-20-7","No result"
"7045-71-8","No result"
"1002-43-3","No result"
"2980-69-0","CHEBI:84250"
"1632-70-8","No result"
"223611-73-2","No result"
"74630-39-0","No result"
"74630-42-5","No result"
"74630-40-3","No result"
"56888-88-1","No result"
"74630-45-8","No result"
"61142-40-3","No result"
"74630-57-2","No result"
"1233691-10-5","No result"
"74630-64-1","No result"
"31613-73-7","No result"
"83687-45-0","No result"
"39546-85-5","No result"
"598-50-5","CHEBI:44383"
"1119-29-5","No result"
"622-97-9","No result"
"13925-09-2","No result"
"16609-28-2","No result"
"03/02/5807",""
"1696-20-4","No result"
"262352-87-4","No result"
"30021-74-0","No result"
"10208-80-7","CHEBI:64797"
"123-35-3","CHEBI:17221"
"91-20-3","CHEBI:16482"
"4545-68-0","No result"
"106-25-2",""
"54-11-5","CHEBI:17688"
"10102-43-9","CHEBI:16480
CHEBI:84879"
"1122-60-7","CHEBI:74164"
"75-52-5","CHEBI:77701"
"629-92-5","CHEBI:32927"
"629-66-3","No result"
"1051365-78-6","No result"
"18435-45-5","CHEBI:64503"
"34266-16-5","No result"
"04/03/6750",""
"26370-28-5","CHEBI:7610"
"3301-94-8","No result"
"104-61-0","CHEBI:10575"
"124-19-6","CHEBI:84268"
"ui","No result"
"111-84-2","CHEBI:32892"
"112-05-0","CHEBI:29019"
"1731-84-6","CHEBI:44499"
"143-08-8","CHEBI:35986"
"628-99-9","CHEBI:78304"
"821-55-6","CHEBI:77927"
"4485-09-0","No result"
"2463-53-8","CHEBI:61726"
"18829-56-6","CHEBI:61726"
"60784-31-8","No result"
"30551-15-6","No result"
"27215-95-8","No result"
"2216-38-8","No result"
"6434-78-2","No result"
"20063-77-8","No result"
"20237-46-1","No result"
"2198-23-4","CHEBI:49211"
"ui","No result"
"ui","No result"
"24415-26-7","No result"
"32064-72-5","No result"
"32073-04-4","No result"
"3338-55-4","No result"
"3779-61-1","CHEBI:64280"
"630-02-4","CHEBI:32943"
"638-66-4","CHEBI:17034"
"593-45-3","CHEBI:32926"
"57-11-4",""
"112-61-8","CHEBI:69188"
"637-55-8","No result"
"112-92-5","No result"
"112-88-9","No result"
"5557-31-3","No result"
"2027-47-6","CHEBI:27997"
"60-33-3",""
"27234-05-5","No result"
"30361-28-5","No result"
"39491-65-1","No result"
"3710-30-3","No result"
"13643-08-8","No result"
"83592-56-7","No result"
"38284-27-4","No result"
"65767-22-8","No result"
"104-50-7","No result"
"124-13-0","CHEBI:17935"
"ui","No result"
"111-65-9","CHEBI:17590"
"585-25-1","No result"
"3214-41-3",""
"124-07-2","CHEBI:28837
CHEBI:25646"
"106-32-1","CHEBI:31574"
"2306-89-0",""
"20292-09-5","No result"
"16456-36-3","No result"
"111-87-5","CHEBI:16188
CHEBI:64304"
"589-98-0","CHEBI:80945"
"27457-18-7","CHEBI:17935"
"111-13-7","No result"
"106-68-3","CHEBI:80946"
"589-63-9","No result"
"2548-87-0","CHEBI:61725
CHEBI:61748"
"25377-83-7","No result"
"111-66-0","No result"
"111-67-1","No result"
"13389-42-9","No result"
"08/04/7642",""
"592-98-3","No result"
"14919-01-8","No result"
"14850-22-7",""
"592-99-4","No result"
"7642-15-1",""
"18719-24-9","No result"
"3391-86-4","No result"
"26001-58-1","No result"
"22104-78-5","No result"
"53907-72-5","No result"
"4312-99-6","No result"
"1669-44-9","No result"
"14129-48-7","No result"
"32073-03-3","No result"
"1708-29-8","No result"
"288-42-6","CHEBI:35597"
"616-45-5","CHEBI:36592
CHEBI:74223"
"87-86-5","CHEBI:17642"
"629-99-2","CHEBI:32938"
"09/11/2765",""
"ui","No result"
"629-62-9","CHEBI:28897"
"1002-84-2","No result"
"41114-00-5","No result"
"7132-64-1","No result"
"2345-28-0","No result"
"13360-61-7","CHEBI:64501
CHEBI:77506"
"26444-04-2","No result"
"15451-50-0","No result"
"629-76-5","CHEBI:77468"
"591-95-7","No result"
"504-60-9","CHEBI:74165"
"2004-70-8","CHEBI:74165"
"1574-41-0",""
"591-93-5","No result"
"142-83-6","CHEBI:82334"
"116164-06-8","No result"
"110-62-3","CHEBI:84069"
"ui","No result"
"109-66-0","No result"
"462-94-2","CHEBI:18127
CHEBI:58384"
"ui","No result"
"53172-76-2","No result"
"600-14-6","CHEBI:52774"
"616-31-9","No result"
"109-52-4","CHEBI:17418
CHEBI:1438
CHEBI:31011"
"ui","No result"
"591-68-4","No result"
"539-82-2","No result"
"624-24-8","No result"
"71-41-0","CHEBI:44884"
"6032-29-7","CHEBI:77518"
"584-02-1","CHEBI:77519"
"107-87-9","CHEBI:16472"
"96-22-0","CHEBI:67886"
"31424-04-1","CHEBI:61722"
"1576-87-0","CHEBI:61722"
"25377-72-4","No result"
"109-67-1",""
"109-68-2","No result"
"627-20-3",""
"646-04-8","No result"
"626-98-2","CHEBI:35939
CHEBI:38366
CHEBI:38367"
"16930-94-2","No result"
"1576-96-1","No result"
"1576-95-0",""
"1629-58-9","No result"
"625-33-2","No result"
"1574-40-9","No result"
"2004-69-5","No result"
"2206-23-7","No result"
"ui","No result"
"122-40-7","CHEBI:32318"
"3777-69-3","No result"
"1551-12-8","No result"
"26856-36-0","CHEBI:74165"
"627-21-4","No result"
"2111-75-3","CHEBI:15421"
"555-10-2","CHEBI:48741"
"99-83-2","No result"
"108-95-2","CHEBI:15882
CHEBI:18099"
"122-99-6","CHEBI:64275"
"37421-04-8","No result"
"7170-44-7","No result"
"122-78-1","CHEBI:16424"
"103-82-2","CHEBI:30851
CHEBI:30745
CHEBI:37277
CHEBI:18401"
"102-20-5","No result"
"536-74-3","No result"
"824-90-8","No result"
"1560-06-1","No result"
"2039-93-2","No result"
"2719-61-1","No result"
"2719-63-3","CHEBI:77515"
"2719-62-2","CHEBI:77516"
"60-12-8","CHEBI:49000"
"1074-12-0","No result"
"1078-71-3","No result"
"948-65-2","No result"
"4397-53-9","No result"
"103-25-3","No result"
"4620-54-6","No result"
"122-97-4","No result"
"103-79-7","CHEBI:52052"
"93-55-0","CHEBI:425902"
"104-55-2","CHEBI:16731"
"637-50-3","No result"
"4534-53-6","No result"
"4534-52-5","No result"
"4534-51-4","No result"
"4534-49-0","No result"
"4536-88-3","No result"
"4536-87-2","No result"
"4536-86-1","No result"
"4537-15-9","CHEBI:77513"
"4537-14-8","CHEBI:77514"
"85-44-9","CHEBI:36605
CHEBI:103210"
"84-74-2","CHEBI:34687"
"84-66-2","CHEBI:34698"
"117-81-7","CHEBI:34679
CHEBI:17747"
"108-89-4","CHEBI:32547"
"1333-41-1","CHEBI:50415"
"473-55-2","CHEBI:35710"
"127-91-3","CHEBI:50025
CHEBI:28359"
"80-56-8","CHEBI:36740
CHEBI:28261
CHEBI:28660"
"110-89-4","CHEBI:18049
CHEBI:589779"
"3040-44-6","CHEBI:61238"
"62985-38-0","No result"
"27154-43-4","CHEBI:77761"
"675-20-7","CHEBI:77761"
"463-49-0","CHEBI:37602"
"123-38-6","CHEBI:17153
CHEBI:49188
CHEBI:84587"
"79-05-0","CHEBI:45422"
"75-31-0","CHEBI:15739"
"74-98-6","CHEBI:32879"
"542-78-9","CHEBI:566274"
"57-55-6","CHEBI:16997
CHEBI:29002"
"78-98-8","CHEBI:17158"
"107-12-0","CHEBI:26307"
"5925-75-7","No result"
"107-03-9","CHEBI:8473"
"56-81-5","CHEBI:15850
CHEBI:17522
CHEBI:17754"
"79-09-4","CHEBI:16333
CHEBI:30768
CHEBI:17272"
"590-01-2","No result"
"105-37-3","CHEBI:84932"
"2445-76-3","No result"
"554-12-1","No result"
"74381-40-1","CHEBI:84228"
"103-58-2","No result"
"624-54-4","No result"
"106-36-5","No result"
"105-38-4","No result"
"71-23-8","CHEBI:28831"
"67-63-0","CHEBI:17824"
"107-02-8","CHEBI:15368
CHEBI:51688
CHEBI:51689"
"107-18-6","CHEBI:16605"
"18328-90-0","No result"
"115-07-1","CHEBI:16052"
"107-13-1","CHEBI:28619
CHEBI:51751
CHEBI:28217"
"79-10-7","CHEBI:18308
CHEBI:51702
CHEBI:37080"
"140-88-5","CHEBI:82327"
"4245-37-8","No result"
"925-60-0","No result"
"2114-42-3","CHEBI:4789"
"75135-41-0","No result"
"52097-85-5","No result"
"08/10/5664",""
"3424-89-3","No result"
"89975-71-3",""
"10546-70-0",""
"103-65-1","No result"
"ui","No result"
"1678-92-8","No result"
"3983-06-0","No result"
"ui","No result"
"1072-43-1","No result"
"4229-91-8","No result"
"74-99-7","CHEBI:48086"
"89-82-7","CHEBI:35596
CHEBI:26381
CHEBI:81226"
"504-31-4","CHEBI:16545
CHEBI:37965"
"290-37-9","CHEBI:30953
CHEBI:28568"
"105-20-4","CHEBI:59170"
"25016-16-4","CHEBI:36383"
"462-08-8","No result"
"504-24-5","No result"
"110-86-1","CHEBI:16227"
"100-54-9","CHEBI:36433"
"108-96-3","No result"
"289-95-2","CHEBI:16898"
"109-97-7","CHEBI:19203"
"123-75-1","CHEBI:52145"
"141-22-0",""
"116-26-7","CHEBI:53169"
"118-60-5","No result"
"ui","No result"
"65405-77-8",""
"6259-76-3","No result"
"118-56-9","No result"
"119-36-8","CHEBI:31832"
"2050-08-0","No result"
"118-58-1","No result"
"2153-66-4","No result"
"529-16-8","No result"
"ui","No result"
"765-46-8","No result"
"111-02-4",""
"100-42-5","CHEBI:27452
CHEBI:48095"
"548740-99-4","No result"
"51755-83-0","CHEBI:77690"
"80-07-9","No result"
"05/09/7446",""
"99-86-5","CHEBI:10334"
"99-84-3","CHEBI:59159"
"99-85-4","CHEBI:10577"
"586-62-9","CHEBI:9457"
"10482-56-1","CHEBI:62"
"586-81-2","CHEBI:81151"
"36313-15-2","No result"
"79-34-5","CHEBI:36026"
"127-18-4","CHEBI:17300"
"1198-55-6","CHEBI:26889"
"58-90-2","No result"
"646-31-1","CHEBI:32936"
"2442-49-1","No result"
"124-25-4","CHEBI:84067"
"ui","No result"
"629-59-4","No result"
"544-63-8",""
"124-06-1","CHEBI:84849"
"124-10-7","No result"
"110-27-0","No result"
"127512-73-6","No result"
"112-72-1","CHEBI:77417"
"2345-27-9","CHEBI:79657"
"41446-78-0","No result"
"1120-36-1","CHEBI:77505"
"41446-63-3","No result"
"26444-03-1","CHEBI:37271
CHEBI:61366"
"22104-82-1","No result"
"1187-03-7","No result"
"494-90-6","CHEBI:50542
CHEBI:6750"
"2390-94-5",""
"7416-35-5","No result"
"109-99-9","CHEBI:26911"
"635-46-1","CHEBI:213323"
"488-23-3","No result"
"527-53-7","No result"
"95-93-2",""
"na","No result"
"594-82-1","No result"
"865-52-1","No result"
"2437-93-6","No result"
"62183-79-3","No result"
"52670-34-5","No result"
"2782-91-4","No result"
"632-22-4","CHEBI:84278"
"51410-11-8","No result"
"36431-72-8","No result"
"288-47-1","No result"
"504-78-9","CHEBI:50120"
"507-09-5","CHEBI:16555
CHEBI:17093
CHEBI:52477
CHEBI:30320"
"76926-49-3",""
"112-55-0","No result"
"75-08-1","No result"
"110-02-1","CHEBI:30856
CHEBI:48458"
"62-56-6","CHEBI:36946"
"02/05/2867",""
"89-83-8","CHEBI:25187"
"1334-78-7","CHEBI:27434
CHEBI:28476"
"108-88-3","CHEBI:17578"
"102-76-1",""
"ui","No result"
"75-25-2","CHEBI:38682"
"118-79-6","CHEBI:47696"
"108-70-3","CHEBI:49916"
"71-55-6","CHEBI:36015"
"79-00-5","CHEBI:36018"
"79-01-6","CHEBI:16602"
"75-69-4","CHEBI:48236"
"56961-20-7","No result"
"76-13-1","No result"
"638-67-5","CHEBI:32934"
"508-32-7","CHEBI:64266"
"10486-19-8","No result"
"ui","No result"
"629-50-5","CHEBI:35998"
"638-53-9","No result"
"1731-88-0","No result"
"112-70-9","CHEBI:34123"
"593-08-8","CHEBI:77928"
"24949-38-0","No result"
"25377-82-6","No result"
"74962-98-4","No result"
"20637-49-4","No result"
"75-50-3","CHEBI:18139
CHEBI:58389"
"1184-78-7","CHEBI:15724"
"108-67-8","CHEBI:34833"
"526-73-8","CHEBI:34037"
"95-63-6","CHEBI:34039"
"554-59-6","CHEBI:35663"
"76-22-2","CHEBI:36773
CHEBI:15396
CHEBI:15397"
"514-14-7","No result"
"13466-78-9",""
"610770-63-3","No result"
"464-06-2","No result"
"1203-08-3","No result"
"1678-81-5","No result"
"1839-63-0","CHEBI:34833"
"2234-75-5","No result"
"7094-26-0","No result"
"7667-55-2","No result"
"50874-76-5","No result"
"2408-37-9","No result"
"15890-40-1","No result"
"2815-57-8","No result"
"2815-58-9","No result"
"473-91-6","No result"
"55683-21-1","No result"
"62108-25-2","No result"
"62108-26-3","No result"
"62108-27-4","No result"
"31295-56-4","No result"
"10504-04-8","No result"
"35387-63-4","No result"
"ui","No result"
"74630-29-8","No result"
"2613-61-8","No result"
"52896-95-4","No result"
"7154-80-5","No result"
"1069-53-0","No result"
"16747-26-5","No result"
"3522-94-9","No result"
"921-47-1","No result"
"16747-30-1","No result"
"2199-41-9","No result"
"930-87-0","No result"
"na","No result"
"514-95-4","No result"
"ui","No result"
"62016-14-2","No result"
"62016-28-8","No result"
"62016-33-5","No result"
"62016-37-9","No result"
"144-19-4","No result"
"540-84-1","CHEBI:62805"
"560-21-4","No result"
"564-02-3","No result"
"565-75-3","No result"
"107-39-1","No result"
"107-40-4","No result"
"565-77-5","No result"
"598-96-9","No result"
"39761-64-3","No result"
"ui","No result"
"14667-55-1","No result"
"3855-78-5","No result"
"2437-72-1","No result"
"na","No result"
"123-63-7","CHEBI:27909"
"06/06/5981",""
"110-88-3","CHEBI:16842
CHEBI:17087
CHEBI:17478
CHEBI:18044
CHEBI:38043"
"732-26-3","No result"
"61215-70-1","No result"
"57084-17-0","No result"
"112-44-7","CHEBI:46202"
"ui","No result"
"1120-21-4","No result"
"112-37-8","CHEBI:32368"
"1731-86-8","No result"
"30207-98-8","CHEBI:77930"
"1653-30-1","CHEBI:77930"
"112-12-9","CHEBI:17700"
"53448-07-0","No result"
"28761-27-5","CHEBI:77444"
"821-95-4","CHEBI:77444"
"693-62-9","No result"
"4941-53-1","No result"
"764-97-6","No result"
"764-96-5","No result"
"ui","No result"
"112-38-9","CHEBI:83041"
"57-13-6","CHEBI:16199
CHEBI:48376"
"75-01-4","CHEBI:28509"
"109-92-2","No result"
"1487-18-9","No result"
"31093-57-9","No result"
"05/04/3718",""
"926-65-8","No result"
"4177-16-6","No result"
"65416-59-3","No result"
"106-42-3","CHEBI:27417"
"108-38-3","CHEBI:28488"
"95-47-6","CHEBI:28063
CHEBI:75250"
"1330-20-7","CHEBI:28063
CHEBI:27417
CHEBI:28488"
"108-68-9","CHEBI:38572"
"526-75-0","No result"
"14912-44-8","CHEBI:10341"
