CAS,ChEBI
"62-53-3","CHEBI:17296
CHEBI:15773"
"506-32-1",""
"105-60-2","CHEBI:28579"
"4025-37-0","No result"
"7782-79-8","CHEBI:29449"
"503-28-6","No result"
"100-52-7","CHEBI:17169"
"71-43-2","CHEBI:16716
CHEBI:29005"
"623-26-7","No result"
"5925-74-6","No result"
"271-89-6","CHEBI:35260"
"65-85-0","CHEBI:30746
CHEBI:36096
CHEBI:16150"
"120-51-4","No result"
"2915-72-2","No result"
"ui","No result"
"70682-72-3",""
"29376-83-8",""
"100-47-0","CHEBI:27991"
"119-61-9","CHEBI:59967"
"91-64-5","CHEBI:28794
CHEBI:16151"
"95-16-9","No result"
"2440-22-4",""
"100-51-6","CHEBI:17987"
"300-57-2","No result"
"17699-05-7","CHEBI:62755"
"92-52-4","CHEBI:17097"
"2749-70-4","No result"
"120-40-1","No result"
"1014-60-4","No result"
"123278-27-3","No result"
"14035-34-8","No result"
"5208-58-2","No result"
"5208-59-3","No result"
"75-27-4","No result"
"74-83-9","No result"
"106-99-0","No result"
"590-19-2","No result"
"123-72-8","CHEBI:15743"
"ui","No result"
"106-97-8","No result"
"513-85-9","CHEBI:62064"
"590-88-5","No result"
"110-60-1","CHEBI:17148
CHEBI:326268"
"431-03-8","CHEBI:16583"
"2432-51-1","No result"
"107-92-6","CHEBI:30772
CHEBI:17968"
"109-21-7","No result"
"105-54-4","CHEBI:17120"
"623-42-7","No result"
"106-27-4","No result"
"105-66-8","No result"
"ui","No result"
"71-36-3","CHEBI:28885"
"78-92-2","CHEBI:35687"
"78-93-3","CHEBI:28398"
"123-73-9","CHEBI:41607"
"7319-38-2","No result"
"ui","No result"
"25167-67-3","CHEBI:48362"
"106-98-9","CHEBI:48362"
"107-01-7","CHEBI:48363
CHEBI:48365"
"590-18-1","CHEBI:48366"
"624-64-6","CHEBI:48363
CHEBI:48365"
"107-93-7","CHEBI:17217
CHEBI:25219
CHEBI:36253
CHEBI:35899
CHEBI:36258"
"7299-91-4","No result"
"4358-59-2","No result"
"6117-91-5","CHEBI:17217
CHEBI:62891"
"78-94-4","CHEBI:48058"
"56484-52-7","No result"
"689-97-4","CHEBI:48088"
"111-76-2","CHEBI:63921"
"54446-78-5","No result"
"5131-66-8","No result"
"1070-66-2","No result"
"30273-11-1","No result"
"ui","No result"
"104-51-8","No result"
"3622-84-2","CHEBI:44237"
"4466-24-4","No result"
"111-36-4","CHEBI:136519"
"592-82-5","CHEBI:50534"
"08/02/3913",""
"51407-46-6","No result"
"589-33-3","No result"
"107-00-6","CHEBI:48087
CHEBI:28889"
"503-17-3","No result"
"483-78-3","No result"
"523-47-7",""
"483-76-1","CHEBI:15385"
"39029-41-9","CHEBI:16946
CHEBI:57959
CHEBI:59960
CHEBI:63203"
"21391-99-1","No result"
"6617-49-8","No result"
"79-92-5","CHEBI:3830"
"628-02-4","No result"
"18968-24-6","No result"
"18968-23-5","No result"
"124-38-9","CHEBI:16526
CHEBI:17245"
"75-15-0","CHEBI:23012"
"56-23-5","CHEBI:27385"
"463-79-6","CHEBI:28976"
"463-58-1","CHEBI:16573"
"29050-33-7","No result"
"28226-49-5","No result"
"99-48-9","CHEBI:52091
CHEBI:23046"
